plate,channel,row,col,value,Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate 2,Label2,12,19,430,Plate2,O-95,8.075e-06,c2,C-1,C-2,L19
Plate 2,Label2,12,20,415,Plate2,O-95,1.473e-05,c2,C-1,C-2,L20
Plate 2,Label2,12,21,520,Plate2,O-95,2.684e-05,c2,C-1,C-2,L21
Plate 2,Label2,12,22,460,Plate2,O-95,4.869e-05,c2,C-1,C-2,L22
Plate 2,Label2,12,23,565,Plate2,C-1,NA,c2,C-1,C-2,L23
Plate 2,Label2,12,24,355,Plate2,C-1,NA,c2,C-1,C-2,L24
Plate 2,Label2,13,1,375,Plate2,C-1,NA,c2,C-1,C-2,M01
Plate 2,Label2,13,2,1345,Plate2,C-2,9.831e-06,c2,C-1,C-2,M02
Plate 2,Label2,13,3,1520,Plate2,C-2,5.797e-06,c2,C-1,C-2,M03
Plate 2,Label2,13,4,1205,Plate2,C-2,3.458e-06,c2,C-1,C-2,M04
Plate 2,Label2,13,5,1020,Plate2,C-2,2.068e-06,c2,C-1,C-2,M05
Plate 2,Label2,13,6,1070,Plate2,C-2,1.22e-06,c2,C-1,C-2,M06
Plate 2,Label2,13,7,850,Plate2,C-2,7.458e-07,c2,C-1,C-2,M07
Plate 2,Label2,13,8,700,Plate2,C-2,4.407e-07,c2,C-1,C-2,M08
Plate 2,Label2,13,9,765,Plate2,C-2,2.712e-07,c2,C-1,C-2,M09
Plate 2,Label2,13,10,485,Plate2,C-2,1.695e-07,c2,C-1,C-2,M10
Plate 2,Label2,13,11,695,Plate2,C-2,1.017e-07,c2,C-1,C-2,M11
Plate 2,Label2,13,12,450,Plate2,C-1,NA,c2,C-1,C-2,M12
Plate 2,Label2,13,13,1060,Plate2,C-2,9.831e-06,c2,C-1,C-2,M13
Plate 2,Label2,13,14,1530,Plate2,C-2,5.797e-06,c2,C-1,C-2,M14
Plate 2,Label2,13,15,930,Plate2,C-2,3.458e-06,c2,C-1,C-2,M15
Plate 2,Label2,13,16,915,Plate2,C-2,2.068e-06,c2,C-1,C-2,M16
Plate 2,Label2,13,17,790,Plate2,C-2,1.22e-06,c2,C-1,C-2,M17
Plate 2,Label2,13,18,915,Plate2,C-2,7.458e-07,c2,C-1,C-2,M18
